ncbi_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name,gene_id,uniprot_id
BAA10093.1,223.1966417985162,-0.39637208755677783,0.1388628998504284,0.0028955117167975123,0.0080251003652455,sll0335,sll0335,Q55587
BAA10094.1,11187.027831713875,-1.873741589342668,0.11929287988572033,1.1464792817034012e-56,9.041552517070004e-55,slr0373,slr0373,Q55588
BAA10095.1,23286.98510626718,-1.8537800286111776,0.12044082430760132,2.3337594931763878e-54,1.7604664002874058e-52,slr0374,slr0374,Q55589
BAA10096.1,12711.138269075114,-2.932460806656496,0.140658692705251,1.8690850800842736e-97,2.1619084092974765e-95,slr0376,slr0376,Q55590
BAA10097.1,675.263059602311,-0.2932773492424241,0.10983009309091454,0.006065926810888325,0.01539778056604425,slr0377,slr0377,Q55591
BAA10098.1,610.8316426744268,-0.12800946220793782,0.10340018406819415,0.20523005031920313,0.3063003331645741,slr0378,slr0378,Q55592
BAA10099.1,298.62047212466405,-0.20095321855840867,0.13676017777056274,0.1259732906771622,0.20570697348223665,slr0379,slr0379,Q55593
BAA10100.1,539.8112314957191,-0.33102060778723347,0.10667347392208723,0.001456160981214345,0.004389990099751327,slr0380,slr0380,Q55594
BAA10101.1,212.38894561378774,0.5462350566249369,0.14215039768739146,5.9751785394169653e-5,2.4537123706244816e-4,slr0381,slr0381,Q55595
BAA10102.1,150.13802301967192,1.2583646921512206,0.18955555682492362,4.563181004960273e-12,4.4551016309139447e-11,fabG,sll0330,Q55596
BAA10103.1,75.18622589457829,0.11465707614388027,0.1979239500619637,0.5279074133079261,0.6353932445988567,slr0383,slr0383,Q55597
BAA10104.1,500.53636698931723,0.17273912093792543,0.11715615137248632,0.12899027497076934,0.2098363935657189,slr0384,slr0384,Q55598
BAA10105.1,6423.492246595147,0.7059202053288252,0.08085800561969309,9.206038324455325e-19,1.4454729857855192e-17,gnd,sll0329,P52208
BAA10106.1,36.45966486270215,-1.2563429882617194,0.33346946716195963,2.2411423142322514e-5,9.89410156537648e-5,sll0328,sll0328,Q55599
BAA10107.1,91.38691353343249,-1.1276431241200575,0.24278174071392367,5.469373335014346e-7,3.1950716283669666e-6,sll0327,sll0327,Q55600
BAA10108.1,268.5946927487215,0.4110959098032474,0.14684058988957607,0.00332504547216126,0.00907068222358457,slr0386,slr0386,Q55601
BAA10109.1,107.87288320753731,0.003766215063272441,0.16681427708865545,0.9813555554904397,0.9881903010887482,nifS,slr0387,Q55602
BAA10110.1,60.34457758670502,-0.0891353024368339,0.22278951920231882,0.653025946037421,0.7428928697546234,slr0388,slr0388,Q55603
